Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,baden_wuerttemberg,bayern,berlin,brandenburg,bremen,hamburg,hessen,mecklenburg_vorpommern,niedersachsen,nordrhein_westfalen,rheinland_pfalz,saarland,sachsen,sachsen_anhalt,schleswig_holstein,thueringen,Industries,industry,industrials,information_technology,communication_services,real_estate,financials,consumer_discretionary,web3_blockchain,health_care,materials,consumer_staples,other,utilities,energy,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,twitter,instagram,linkedin,ceo_connections,ceo_connections_dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,total_funding,last_funding,age,funding_time_months,startup_stage,industry_clean
Equipme,2021-01-01,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Information Technology, Internet,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"$3,800,000",Seed,2023-04-17,"$3,800,000",6.0,,Equipme is developing the B2B subscription economy's operating system.,Information Technology,Equipme Information Technology startup website,0.0,0.0,893.0,500.0,1,$,3800000.0,$,3800000.0,1.1,historical,1.1,4180000.000000001,4180000.000000001,4,27,2,information_technology
Tanso,2021-01-01,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Business Intelligence, Enterprise Software,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,3,"$8,943,099",Seed,2023-04-18,"€4,000,000",5.0,2.0,Tanso enables industrial companies to achieve their sustainability targets.,Business Intelligence,Tanso Business Intelligence startup website,0.0,215.0,6000.0,500.0,1,$,8943099.0,€,4000000.0,1.09,historical,1.09,9747977.91,4000000.0,4,27,2,information_technology
ONINO,2021-12-21,"Karlsruhe, Baden-Wurttemberg,",Karlsruhe,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Blockchain, Data Storage, IT Infrastructure",Web3/Blockchain,0,0,0,0,0,0,1,0,0,0,0,0,0,1-10,1,,Pre-Seed,2023-04-20,,1.0,,ONINO is building a graph-based decentralized network and helps companies leverage the power of Blockchain & Tokenization.,Blockchain,ONINO Blockchain startup website,0.0,0.0,712.0,500.0,1,,,,,1.1,historical,1.1,,,3,15,1,web3_blockchain
GovRadar,2020-03-02,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GovTech, SaaS, Software",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,2,"€1,705,000",Seed,2023-04-24,"€1,000,000",5.0,,SaaS platform to simplify and accelerate public procurement,GovTech,GovRadar GovTech startup website,0.0,0.0,3000.0,500.0,1,€,1705000.0,€,1000000.0,1.1,historical,1.1,1705000.0,1000000.0,4,37,2,information_technology
bits&birds,2020-06-11,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"AI, Human Resources,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,51-100,2,"€900,000",Seed,2023-04-25,"€850,000",1.0,,Bits&birds is an HR consulting for the digital and IT sector companies.,AI,bits&birds AI startup website,7.0,0.0,3000.0,5000.0,1,€,900000.0,€,850000.0,1.11,historical,1.11,900000.0,850000.0,4,34,2,information_technology
Effinigo,2023-01-16,"Saarbrücken, Saarland, Germany",Saarbrücken,Saarland,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Commercial Real Estate, Facility Management,,,,,,",Real Estate,0,0,0,1,0,0,0,0,0,0,0,0,0,1-10,1,"€400,000",Pre-Seed,2023-05-01,"€400,000",1.0,,Effinigo optimizes the energy efficiency in non-residential buildings by providing easily retrofittable IoT solutions,Commercial Real Estate,Effinigo Commercial Real Estate startup website,0.0,172.0,425.0,276.0,0,€,400000.0,€,400000.0,1.1,historical,1.1,400000.0,400000.0,2,3,1,real_estate
CNDO,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Web Development,Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"$1,000,000",Pre-Seed,2023-05-01,"$1,000,000",7.0,3.0,CNDO is on a mission to change the way people connect and interact online.,Web Development,CNDO Web Development startup website,10.0,0.0,669.0,500.0,1,$,1000000.0,$,1000000.0,1.1,historical,1.1,1100000.0,1100000.0,2,3,1,information_technology
Typst,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Higher Education, Publishing,",Consumer Discretionary,0,0,0,0,0,1,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2023-05-01,,1.0,,Write research papers and homework in the cloud. Focus on your text and let Typst take care of layout and formatting.,Higher Education,Typst Higher Education startup website,0.0,292.0,1000.0,500.0,1,,,,,1.1,historical,1.1,,,3,15,1,consumer_discretionary
Novaheal,2021-01-01,"Bochum, Nordrhein-Westfalen,",Bochum,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"E-Learning, Nursing and Residential Care,",Consumer Discretionary,0,0,0,0,0,1,0,0,0,0,0,0,0,11-50,3,"€565,000",Pre-Seed,2023-05-03,"€560,000",12.0,2.0,Novaheal is a learning platform for trainees and young professionals in nursing.,E-Learning,Novaheal E-Learning startup website,0.0,1.85,1000.0,500.0,1,€,565000.0,€,560000.0,1.1,historical,1.1,565000.0,560000.0,4,27,1,consumer_discretionary
sykell,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Packaging Services, Retail Technology,",Materials,0,0,0,0,0,0,0,0,1,0,0,0,0,11-50,3,"€4,500,000",Seed,2023-05-03,"€4,500,000",5.0,2.0,The reusable system for food retail and service,Packaging Services,sykell Packaging Services startup website,0.0,0.0,5000.0,500.0,1,€,4500000.0,€,4500000.0,1.1,historical,1.1,4500000.0,4500000.0,4,27,2,materials
